title,artist,genre,mood,energy,tempo_bpm
Blinding Lights,The Weeknd,pop,energetic,0.87,171
Levitating,Dua Lipa,pop,happy,0.82,103
Stay With Me,Sam Smith,pop,sad,0.38,84
Watermelon Sugar,Harry Styles,pop,happy,0.72,95
Shape of You,Ed Sheeran,pop,party,0.81,96
Bohemian Rhapsody,Queen,rock,energetic,0.79,144
Smells Like Teen Spirit,Nirvana,rock,angry,0.91,117
Yellow,Coldplay,rock,romantic,0.43,88
Thunder,Imagine Dragons,rock,energetic,0.84,168
Study Lofi Beat,Chillhop Music,lofi,chill,0.21,75
Rainy Day Lofi,Lo-Fi Girl,lofi,chill,0.18,70
Coffee Shop Vibes,Lofi Fruits,lofi,focused,0.24,80
Midnight Lofi,Dreamy Beats,lofi,chill,0.19,72
Take Five,Dave Brubeck,jazz,chill,0.33,174
So What,Miles Davis,jazz,focused,0.35,136
Fly Me to the Moon,Frank Sinatra,jazz,romantic,0.41,112
God's Plan,Drake,hip-hop,happy,0.64,77
HUMBLE.,Kendrick Lamar,hip-hop,angry,0.89,150
Sicko Mode,Travis Scott,hip-hop,energetic,0.92,155
Clair de Lune,Debussy,classical,chill,0.12,60
